
2025/04/01 (19:04:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (19:13:03) | ===> btop++ v.1.3.0
2025/04/01 (19:13:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (19:13:11) | ===> btop++ v.1.3.0
2025/04/01 (19:13:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (19:21:09) | ===> btop++ v.1.3.0
2025/04/01 (19:21:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (16:32:17) | ===> btop++ v.1.3.0
2025/04/11 (16:32:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/14 (18:56:22) | ===> btop++ v.1.3.0
2025/04/14 (18:56:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/15 (17:58:32) | ===> btop++ v.1.3.0
2025/04/15 (17:58:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (20:03:51) | ===> btop++ v.1.3.0
2025/04/22 (20:03:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/24 (17:14:44) | ===> btop++ v.1.3.0
2025/04/24 (17:14:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/24 (19:12:52) | ===> btop++ v.1.3.0
2025/04/24 (19:12:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (15:55:52) | ===> btop++ v.1.3.0
2025/04/28 (15:55:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (16:27:06) | ===> btop++ v.1.3.0
2025/04/28 (16:27:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (18:02:34) | ===> btop++ v.1.3.0
2025/04/28 (18:02:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (18:29:12) | ===> btop++ v.1.3.0
2025/04/28 (18:29:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (18:34:27) | ===> btop++ v.1.3.0
2025/04/28 (18:34:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (18:40:16) | ===> btop++ v.1.3.0
2025/04/28 (18:40:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/30 (19:01:33) | ===> btop++ v.1.3.0
2025/04/30 (19:01:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/30 (20:58:58) | ===> btop++ v.1.3.0
2025/04/30 (20:58:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/30 (21:03:52) | ===> btop++ v.1.3.0
2025/04/30 (21:03:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/30 (22:28:13) | ===> btop++ v.1.3.0
2025/04/30 (22:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/22 (15:29:52) | ===> btop++ v.1.3.0
2025/05/22 (15:29:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/22 (15:34:42) | ===> btop++ v.1.3.0
2025/05/22 (15:34:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/30 (19:09:10) | ===> btop++ v.1.3.0
2025/05/30 (19:09:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/09 (14:43:07) | ===> btop++ v.1.3.0
2025/06/09 (14:43:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/12 (15:26:56) | ===> btop++ v.1.3.0
2025/06/12 (15:26:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/04 (15:17:49) | ===> btop++ v.1.3.0
2025/08/04 (15:17:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (17:44:11) | ===> btop++ v.1.3.0
2025/08/24 (17:44:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (18:09:55) | ===> btop++ v.1.3.0
2025/08/24 (18:09:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (23:28:44) | ===> btop++ v.1.3.0
2025/08/24 (23:28:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (23:59:41) | ===> btop++ v.1.3.0
2025/08/24 (23:59:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/25 (11:38:12) | ===> btop++ v.1.3.0
2025/08/25 (11:38:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/15 (15:24:44) | ===> btop++ v.1.3.0
2025/10/15 (15:24:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/18 (13:33:16) | ===> btop++ v.1.3.0
2025/10/18 (13:33:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/27 (19:06:11) | ===> btop++ v.1.3.0
2025/10/27 (19:06:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/28 (15:02:48) | ===> btop++ v.1.3.0
2025/10/28 (15:02:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/28 (15:12:48) | ===> btop++ v.1.3.0
2025/10/28 (15:12:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/28 (15:17:00) | ===> btop++ v.1.3.0
2025/10/28 (15:17:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/28 (15:51:27) | ===> btop++ v.1.3.0
2025/10/28 (15:51:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/28 (15:52:45) | ===> btop++ v.1.3.0
2025/10/28 (15:52:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/29 (13:41:58) | ===> btop++ v.1.3.0
2025/10/29 (13:41:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/29 (14:05:42) | ===> btop++ v.1.3.0
2025/10/29 (14:05:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/29 (15:45:45) | ===> btop++ v.1.3.0
2025/10/29 (15:45:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/11 (13:44:21) | ===> btop++ v.1.3.0
2025/11/11 (13:44:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/11 (13:47:38) | ===> btop++ v.1.3.0
2025/11/11 (13:47:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/12 (16:47:48) | ===> btop++ v.1.3.0
2025/11/12 (16:47:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/13 (15:49:42) | ===> btop++ v.1.3.0
2025/11/13 (15:49:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/13 (15:50:26) | ===> btop++ v.1.3.0
2025/11/13 (15:50:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/13 (15:52:40) | ===> btop++ v.1.3.0
2025/11/13 (15:52:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/14 (15:33:10) | ===> btop++ v.1.3.0
2025/11/14 (15:33:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (20:04:12) | ===> btop++ v.1.3.0
2025/11/18 (20:04:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/18 (20:21:18) | ===> btop++ v.1.3.0
2025/11/18 (20:21:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/20 (16:06:11) | ===> btop++ v.1.3.0
2025/11/20 (16:06:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/20 (17:35:40) | ===> btop++ v.1.3.0
2025/11/20 (17:35:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/20 (21:04:14) | ===> btop++ v.1.3.0
2025/11/20 (21:04:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/20 (23:36:43) | ===> btop++ v.1.3.0
2025/11/20 (23:36:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/11/21 (16:52:25) | ===> btop++ v.1.3.0
2025/11/21 (16:52:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
